,PDB1,Bound_Unbound,Max_Seq_H_ID_TrainvBenchmark,Max_Seq_L_ID_TrainvBenchmark,Max_Seq_H_ID_Benchmark_v_Benchmark,Max_Seq_L_ID_Benchmark_v_Benchmark
0,8ja5_0.pdb,bound,0.8403361344537815,0.9553571428571428,0.7672413793103449,0.9642857142857144
1,8yx1_0.pdb,bound,0.8833333333333333,0.9626168224299064,0.75,0.9433962264150944
2,8sic_1.pdb,bound,0.7851239669421488,0.8288288288288288,1.0,1.0
3,8uky_1.pdb,bound,0.859504132231405,0.9528301886792452,0.7804878048780488,0.822429906542056
4,8p6i_1.pdb,bound,0.8442622950819673,0.9646017699115044,0.7622950819672131,0.9203539823008848
5,8too_0.pdb,bound,0.85,0.9626168224299064,0.7916666666666666,0.7102803738317757
6,8tbq_1.pdb,bound,0.848,0.9351851851851852,0.7868852459016393,0.8611111111111112
7,8r1d_0.pdb,bound,0.8677685950413223,0.8867924528301887,0.8048780487804879,0.7222222222222222
8,8sdf_1.pdb,bound,0.8503937007874016,0.963963963963964,0.8503937007874016,0.7657657657657657
9,8sdg_1.pdb,bound,0.7096774193548387,0.8532110091743119,0.6774193548387096,0.8348623853211009
10,8jel_0.pdb,bound,0.865546218487395,0.8878504672897196,1.0,1.0
11,8jel_2.pdb,bound,0.865546218487395,0.8878504672897196,1.0,1.0
12,8jen_0.pdb,bound,0.865546218487395,0.8878504672897196,1.0,1.0
13,8jen_2.pdb,bound,0.865546218487395,0.8878504672897196,1.0,1.0
14,8jeo_1.pdb,bound,0.8571428571428571,0.9557522123893806,0.5503875968992248,0.7964601769911505
15,8cin_0.pdb,bound,0.8016528925619835,0.9357798165137616,0.7272727272727273,0.8181818181818182
16,7q6e_0.pdb,bound,0.864406779661017,0.9541284403669724,0.7288135593220338,0.9174311926605504
17,8hp9_0.pdb,bound,0.7109375,0.925925925925926,0.515625,0.8703703703703703
18,8hp9_1.pdb,bound,0.859504132231405,0.908256880733945,0.8264462809917356,0.8623853211009175
19,8hpv_0.pdb,bound,0.860655737704918,0.908256880733945,0.819672131147541,0.8623853211009175
20,8acf_0.pdb,bound,0.8135593220338984,0.8738738738738738,0.7815126050420168,0.7567567567567568
21,8fhy_1.pdb,bound,0.8205128205128205,0.8785046728971962,0.8,0.8504672897196262
22,8fhy_2.pdb,bound,0.8205128205128205,0.8785046728971962,0.8,0.8504672897196262
23,8che_1.pdb,bound,0.8260869565217391,0.8839285714285714,0.773109243697479,0.8839285714285714
24,7x1m_1.pdb,bound,1.0,1.0,0.8305084745762712,0.8691588785046729
25,8dw2_0.pdb,bound,1.0,1.0,0.7559055118110236,0.8518518518518519
26,7xco_0.pdb,bound,1.0,1.0,0.7559055118110236,0.8518518518518519
27,8df5_0.pdb,bound,1.0,1.0,0.7559055118110236,0.8518518518518519
28,8df5_1.pdb,bound,1.0,1.0,0.7559055118110236,0.8518518518518519
29,7x1m_0.pdb,bound,1.0,1.0,0.7559055118110236,0.8518518518518519
30,8f95_1.pdb,bound,0.824,0.9439252336448598,0.8130081300813008,0.9150943396226416
31,8f9f_0.pdb,bound,0.824,0.9439252336448598,0.8130081300813008,0.9150943396226416
32,8f9f_1.pdb,bound,0.824,0.9439252336448598,0.8130081300813008,0.9150943396226416
33,8f9s_0.pdb,bound,0.824,0.9439252336448598,0.8130081300813008,0.9150943396226416
34,8f9s_1.pdb,bound,0.824,0.9439252336448598,0.8130081300813008,0.9150943396226416
35,8f9t_0.pdb,bound,0.824,0.9439252336448598,0.8130081300813008,0.9150943396226416
36,8f9t_1.pdb,bound,0.824,0.9439252336448598,0.8130081300813008,0.9150943396226416
37,8f9v_1.pdb,bound,0.8442622950819673,0.9813084112149532,0.8455284552845529,0.9433962264150944
38,8f9v_2.pdb,bound,0.8442622950819673,0.9813084112149532,0.8455284552845529,0.9433962264150944
39,8f9v_3.pdb,bound,0.8442622950819673,0.9813084112149532,0.8455284552845529,0.9433962264150944
40,8f9w_0.pdb,bound,0.8442622950819673,0.9813084112149532,0.8455284552845529,0.9433962264150944
41,8f9w_1.pdb,bound,0.8442622950819673,0.9813084112149532,0.8455284552845529,0.9433962264150944
42,8f9w_2.pdb,bound,0.8442622950819673,0.9813084112149532,0.8455284552845529,0.9433962264150944
43,8f9w_3.pdb,bound,0.8442622950819673,0.9813084112149532,0.8455284552845529,0.9433962264150944
44,8fa6_0.pdb,bound,0.848,0.9339622641509434,0.824,0.9056603773584906
45,8fb6_0.pdb,bound,0.848,0.9339622641509434,0.824,0.9056603773584906
46,8fb7_0.pdb,bound,0.848,0.9339622641509434,0.824,0.9056603773584906
47,8fb7_1.pdb,bound,0.848,0.9339622641509434,0.824,0.9056603773584906
48,8fa8_0.pdb,bound,0.7984496124031008,0.9345794392523364,0.7906976744186046,0.9339622641509434
49,8fba_1.pdb,bound,0.8145161290322581,0.9245283018867924,0.7580645161290323,0.8878504672897196
50,8oxw_0.pdb,bound,0.8852459016393442,0.9454545454545454,0.7398373983739838,0.6545454545454545
51,8oxx_0.pdb,bound,0.8852459016393442,0.9454545454545454,0.7398373983739838,0.6545454545454545
52,8oxy_0.pdb,bound,0.8852459016393442,0.9454545454545454,0.7398373983739838,0.6545454545454545
53,8f5i_0.pdb,bound,0.7622950819672131,0.908256880733945,0.7295081967213115,0.8165137614678899
54,7tow_0.pdb,bound,0.7651515151515151,0.8981481481481481,0.7121212121212122,0.8333333333333334
55,7tow_1.pdb,bound,0.7651515151515151,0.8981481481481481,0.7121212121212122,0.8333333333333334
56,8fym_1.pdb,bound,0.8536585365853658,0.9557522123893806,1.0,1.0
57,8fym_2.pdb,bound,0.8536585365853658,0.9557522123893806,1.0,1.0
58,8gy5_1.pdb,bound,0.8547008547008547,0.8598130841121495,0.7851239669421488,0.7777777777777778
59,8t03_0.pdb,bound,0.875,0.97196261682243,0.5583333333333333,0.6728971962616822
60,8j7t_0.pdb,bound,0.8907563025210085,0.90990990990991,0.7372881355932204,0.8108108108108109
61,8szy_3.pdb,bound,0.8372093023255814,0.981651376146789,0.7131782945736435,0.8623853211009175
62,7yi6_1.pdb,bound,0.7899159663865546,0.9537037037037036,0.9915966386554622,0.9818181818181818
63,8e6j_0.pdb,bound,0.784,0.9065420560747663,0.68,0.8598130841121495
64,7yiz_1.pdb,bound,0.6521739130434783,0.9065420560747663,0.5341614906832298,0.8504672897196262
65,8elq_0.pdb,bound,1.0,1.0,0.8559322033898306,0.8807339449541285
66,8e1g_1.pdb,bound,0.905982905982906,0.9252336448598132,0.8389830508474576,0.897196261682243
67,8d9y_0.pdb,bound,0.7265625,0.897196261682243,0.6746031746031746,0.8598130841121495
68,8d9z_0.pdb,bound,0.7265625,0.897196261682243,0.6746031746031746,0.8598130841121495
69,8da0_0.pdb,bound,0.7265625,0.897196261682243,0.6746031746031746,0.8598130841121495
70,8da0_1.pdb,bound,0.7265625,0.897196261682243,0.6746031746031746,0.8598130841121495
71,8da1_0.pdb,bound,0.7265625,0.897196261682243,0.6746031746031746,0.8598130841121495
72,8eoo_2.pdb,bound,0.9916666666666668,1.0,0.7333333333333333,0.6636363636363637
73,8eoo_1.pdb,bound,0.9112903225806452,0.9553571428571428,0.8548387096774194,0.8928571428571429
74,7xeg_0.pdb,bound,0.9663865546218487,0.9541284403669724,0.8487394957983193,0.8715596330275229
75,7xei_0.pdb,bound,0.9663865546218487,0.9541284403669724,0.8487394957983193,0.8715596330275229
76,8g3p_0.pdb,bound,0.734375,0.9074074074074074,0.671875,0.8796296296296297
77,7qt0_1.pdb,bound,0.8524590163934426,0.9532710280373832,0.7540983606557377,0.9252336448598132
78,7qt0_2.pdb,bound,0.8524590163934426,0.9532710280373832,0.7540983606557377,0.9252336448598132
79,7qt0_3.pdb,bound,0.8524590163934426,0.9532710280373832,0.7540983606557377,0.9252336448598132
80,7qt0_4.pdb,bound,0.8524590163934426,0.9532710280373832,0.7540983606557377,0.9252336448598132
81,7qt0_5.pdb,bound,0.8524590163934426,0.9532710280373832,0.7540983606557377,0.9252336448598132
82,7qt2_1.pdb,bound,0.8448275862068966,0.9626168224299064,0.773109243697479,0.9065420560747663
83,7qt3_1.pdb,bound,0.8666666666666667,0.9813084112149532,0.7666666666666667,0.9252336448598132
84,8cwk_0.pdb,bound,0.907563025210084,0.9532710280373832,0.8429752066115702,0.8130841121495327
85,8dxu_0.pdb,bound,0.907563025210084,0.9532710280373832,0.8429752066115702,0.8130841121495327
86,8cwj_1.pdb,bound,1.0,1.0,0.7647058823529411,0.7876106194690266
87,8dw2_1.pdb,bound,1.0,1.0,0.7563025210084033,0.7876106194690266
88,8cwj_3.pdb,bound,0.8487394957983193,0.9158878504672896,0.8151260504201681,0.8785046728971962
89,8gb8_0.pdb,bound,0.7768595041322314,0.8691588785046729,0.71900826446281,0.8037383177570093
90,7zqt_1.pdb,bound,0.675,0.9813084112149532,0.6166666666666667,0.9166666666666666
91,8hn6_0.pdb,bound,0.9230769230769232,0.9252336448598132,0.8389830508474576,0.8411214953271028
92,7xrz_1.pdb,bound,1.0,1.0,0.7704918032786885,0.6542056074766355
93,8cbz_0.pdb,bound,0.865546218487395,0.8846153846153846,0.7647058823529411,0.839622641509434
