,Dir,PDB,Protein_type,Bound_Unbound,Rank
0,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_7wog_0_seed2/,renum_fv_fold_7wog_0_seed2_model_2.pdb,antibody,bound,0.46
1,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_7wog_0_seed2/,renum_fv_fold_7wog_0_seed2_model_1.pdb,antibody,bound,0.46
2,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_7wog_0_seed2/,renum_fv_fold_7wog_0_seed2_model_4.pdb,antibody,bound,0.45
3,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_7wog_0_seed2/,renum_fv_fold_7wog_0_seed2_model_3.pdb,antibody,bound,0.46
4,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_7wog_0_seed2/,renum_fv_fold_7wog_0_seed2_model_0.pdb,antibody,bound,0.46
5,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_7wg3_1_seed3/,renum_fv_fold_7wg3_1_seed3_model_4.pdb,antibody,bound,0.49
6,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_7wg3_1_seed3/,renum_fv_fold_7wg3_1_seed3_model_3.pdb,antibody,bound,0.49
7,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_7wg3_1_seed3/,renum_fv_fold_7wg3_1_seed3_model_0.pdb,antibody,bound,0.5
8,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_7wg3_1_seed3/,renum_fv_fold_7wg3_1_seed3_model_1.pdb,antibody,bound,0.5
9,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_7wg3_1_seed3/,renum_fv_fold_7wg3_1_seed3_model_2.pdb,antibody,bound,0.5
10,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_8ath_1_seed3/,renum_fv_fold_8ath_1_seed3_model_4.pdb,antibody,bound,0.53
11,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_8ath_1_seed3/,renum_fv_fold_8ath_1_seed3_model_2.pdb,antibody,bound,0.55
12,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_8ath_1_seed3/,renum_fv_fold_8ath_1_seed3_model_1.pdb,antibody,bound,0.55
13,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_8ath_1_seed3/,renum_fv_fold_8ath_1_seed3_model_0.pdb,antibody,bound,0.56
14,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_8ath_1_seed3/,renum_fv_fold_8ath_1_seed3_model_3.pdb,antibody,bound,0.53
15,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_8hp9_0_seed3/,renum_fv_fold_8hp9_0_seed3_model_3.pdb,antibody,bound,0.76
16,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_8hp9_0_seed3/,renum_fv_fold_8hp9_0_seed3_model_4.pdb,antibody,bound,0.75
17,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_8hp9_0_seed3/,renum_fv_fold_8hp9_0_seed3_model_1.pdb,antibody,bound,0.76
18,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_8hp9_0_seed3/,renum_fv_fold_8hp9_0_seed3_model_0.pdb,antibody,bound,0.76
19,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_8hp9_0_seed3/,renum_fv_fold_8hp9_0_seed3_model_2.pdb,antibody,bound,0.76
20,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_8sgn_0_seed1/,renum_fv_fold_8sgn_0_seed1_model_3.pdb,antibody,bound,0.44
21,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_8sgn_0_seed1/,renum_fv_fold_8sgn_0_seed1_model_1.pdb,antibody,bound,0.44
22,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_8sgn_0_seed1/,renum_fv_fold_8sgn_0_seed1_model_0.pdb,antibody,bound,0.46
23,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_8sgn_0_seed1/,renum_fv_fold_8sgn_0_seed1_model_2.pdb,antibody,bound,0.44
24,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_8sgn_0_seed1/,renum_fv_fold_8sgn_0_seed1_model_4.pdb,antibody,bound,0.4
25,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_7t17_0_seed2/,renum_fv_fold_7t17_0_seed2_model_1.pdb,antibody,bound,0.35000000000000003
26,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_7t17_0_seed2/,renum_fv_fold_7t17_0_seed2_model_0.pdb,antibody,bound,0.35000000000000003
27,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_7t17_0_seed2/,renum_fv_fold_7t17_0_seed2_model_3.pdb,antibody,bound,0.34
28,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_7t17_0_seed2/,renum_fv_fold_7t17_0_seed2_model_4.pdb,antibody,bound,0.34
29,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_7t17_0_seed2/,renum_fv_fold_7t17_0_seed2_model_2.pdb,antibody,bound,0.35000000000000003
30,/scratch4/jgray21/ftalib1/AF3_Benchmark/AF3/sorted/Bound/Ab/fold_8qrg_0_seed2/,renum_fv_fold_8qrg_0_seed2_model_1.pdb,antibody,bound,0.58
